user_id,anime_id,rating
7813726,1621,7
7813727,6265,3
7813728,9325,6
7813729,1516,4
7813730,8767,10
7813731,5193,9
7813732,8289,7
7813733,8606,9
7813734,4298,2
7813735,4129,6
7813736,4223,7
7813737,4862,10
7813738,6887,4
7813739,9950,1
7813740,1104,5
7813741,2027,8
7813742,7985,4
7813743,4555,1
7813744,5299,5
7813745,181,6
7813746,7791,1
7813747,1366,6
7813748,3935,6
7813749,8936,3
7813750,42,3
7813751,5908,6
7813752,4002,1
7813753,2007,5
7813754,6580,10
7813755,7132,4
7813756,7577,7
7813757,4477,4
7813758,7825,5
7813759,2858,1
7813760,4955,9
7813761,3192,7
7813762,1553,10
7813763,3828,7
7813764,4804,1
7813765,6661,10
7813766,5985,3
7813767,215,2
7813768,8934,2
7813769,4243,6
7813770,2749,6
7813771,3054,3
7813772,1787,8
7813773,6794,1
7813774,4367,10
7813775,3877,1
7813776,7162,6
7813777,9732,5
7813778,4375,8
7813779,397,6
7813780,1707,7
7813781,2575,5
7813782,2718,4
7813783,2459,3
7813784,3771,4
7813785,1243,8
7813786,8250,4
7813787,5711,4
7813788,3987,6
7813789,8107,6
7813790,5932,9
7813791,6380,10
7813792,8193,9
7813793,2280,8
7813794,6597,4
7813795,5498,9
7813796,3383,4
7813797,2710,4
7813798,4773,2
7813799,2774,4
7813800,6607,10
7813801,163,6
7813802,9700,5
7813803,9876,1
7813804,4212,4
7813805,5957,4
7813806,6675,10
7813807,5538,3
7813808,5390,6
7813809,7353,9
7813810,1629,4
7813811,8427,3
7813812,6531,2
7813813,9157,1
7813814,9427,4
7813815,7487,3
7813816,2346,6
7813817,7126,7
7813818,3586,4
7813819,9830,5
7813820,9462,3
7813821,9675,6
7813822,777,8
7813823,9912,7
7813824,4137,5
7813825,9132,8
